logic masters: 109   placements: 3626
written to probes/masters.txt
   ADDFHXL          15
   ADDFX1           2
   ADDHXL           1
   AND2X1           4
   AND2X2           25
   AND2X4           16
   AND2XL           5
   AND3X1           2
   AND3X2           1
   AND3X4           2
   AND3XL           7
   AND4XL           9
   AOI211X1         2
   AOI211X2         1
   AOI211X4         1
   AOI211XL         43
   AOI21X1          5
   AOI21XL          130
   AOI221XL         1
   AOI222X1         5
   AOI222XL         54
   AOI22X1          14
   AOI22X2          4
   AOI22XL          184
   AOI2BB1XL        4
   AOI2BB2X1        2
   AOI2BB2XL        4
   AOI31XL          2
   AOI32XL          2
   BUFX1            26
   BUFX12           3
   BUFX16           2
   BUFX2            12
   BUFX4            6
   BUFX8            6
   BUFXL            10
   CLKBUFX2         89
   CLKBUFX3         20
   CLKBUFX4         7
   CLKBUFX8         11
   CLKBUFXL         3
   CLKINVX1         3
   CLKINVX2         4
   CLKINVX3         22
   CLKINVX4         18
   CLKINVX8         16
   CLKINVXL         1
   CMPR32X1         11
   DFFSX1           215
   DFFSX2           14
   DFFSX4           1
   DFFSXL           781
   INVX1            4
   INVX2            12
   INVX3            7
   INVX4            32
   INVX8            1
   INVXL            206
   MX2XL            1
   MXI2X1           1
   MXI2XL           6
   NAND2BXL         67
   NAND2X1          11
   NAND2X2          6
   NAND2XL          528
   NAND3BXL         3
   NAND3X1          6
   NAND3XL          45
   NAND4BX1         1
   NAND4BXL         6
   NAND4X1          2
   NAND4XL          23
   NOR2BX1          4
   NOR2BX2          1
   NOR2BXL          9
   NOR2X1           15
   NOR2X2           7
   NOR2X4           2
   NOR2XL           236
   NOR3BX1          1
   NOR3X1           1
   NOR3X2           4
   NOR3XL           10
   NOR4BX1          1
   NOR4BXL          5
   NOR4X1           1
   OAI211X1         1
   OAI211XL         28
   OAI21X1          9
   OAI21XL          187
   OAI221XL         21
   OAI22X2          9
   OAI22XL          37
   OAI2BB1X1        5
   OAI2BB1XL        33
   OAI2BB2XL        2
   OAI31XL          2
   OR2X1            2
   OR2XL            60
   OR3X1            2
   OR3X2            1
   OR3XL            1
   OR4X1            3
   OR4XL            1
   TLATNXL          40
   XNOR2X1          15
   XNOR2XL          27
   XOR2X1           18
   XOR2XL           29
